id,tokens,bio_tags,sentiment_tags,aspects
126,"['i', 'love', 'these', 'cardigans', '!', 'i', 'have', 'several', 'of', 'them', 'now', '.', 'i', 'have', 'sized', 'up', 'from', 'a', '2x', 'to', 'a', '3n', 'my', 'cardigans', ',', 'and', 'they', 'fit', 'great', '!']","['O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{'overall': 'P', 'length': 'O', 'width': 'O', 'shoulder': 'O', 'sleeve': 'O'}"
109,"['did', ""n't"", 'notice', 'the', 'plus', 'sizes', 'run', 'small', 'so', 'buttoned', 'up', 'this', 'looks', 'weird', '.', 'to', 'small', 'for', 'my', 'hips', '.', 'but', 'open', 'its', 'perfect', '.', 'so', 'if', 'you', 'prefer', 'more', 'form', 'fitting', 'and', 'to', 'wear', 'it', 'up', 'buttoned', 'then', 'you', 'do', ""n't"", 'need', 'to', 'upsize', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{'overall': 'N', 'length': 'O', 'width': 'N', 'shoulder': 'O', 'sleeve': 'O'}"
247,"['thanks', 'modcloth', 'for', 'yet', 'another', 'awesome', 'tunic', '.', 'i', 'like', 'the', 'colors', 'and', 'fit', ',', 'but', 'did', ""n't"", 'anticipate', 'it', 'being', 'made', 'of', 'almost', 'like', 'a', 'silky', 'material', '?', 'not', 'my', 'favorite', 'material', ',', 'but', 'i', 'still', 'kept', 'the', 'top', 'because', 'i', 'like', 'the', 'colors', 'and', 'pattern']","['O', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'B-P', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{'overall': 'P', 'length': 'O', 'width': 'O', 'shoulder': 'O', 'sleeve': 'O'}"
234,"['i', 'am', 'fairly', 'pleased', 'with', 'this', 'top', ',', 'though', 'i', 'do', 'have', 'a', 'few', 'issues', '.', 'the', 'material', 'is', 'sort', 'of', 'a', 'synthetic', 'silk', 'type', ',', 'which', 'feels', 'nice', 'but', 'i', ""'m"", 'not', 'sure', 'how', 'it', 'will', 'fare', 'on', 'warmer', 'days.originally', ',', 'i', 'ordered', 'a', '1x', 'which', 'was', 'slightly', 'too', 'small', 'in', 'the', 'shoulders', 'and', 'bust', '.', 'i', ""'m"", 'an', 'apple', 'shape', 'with', 'a', 'large', 'bust', 'and', 'linebacker', 'shoulders', '.', 'the', '2x', 'fit', 'much', 'better', 'in', 'the', 'bust', ',', 'even', 'though', 'it', 'was', 'a', 'little', 'loose', 'in', 'the', 'waist.overall', ',', 'it', ""'s"", 'beautiful', 'i', 'think', 'it', 'will', 'be', 'great', 'to', 'throw', 'on', 'with', 'jeans', 'or', 'leggings', 'and', 'look', 'polished', 'and', 'put', 'together', 'without', 'having', 'to', 'try', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{'overall': 'O', 'length': 'O', 'width': 'N', 'shoulder': 'O', 'sleeve': 'O'}"
202,"['i', 'love', 'my', 'pam', 'breezely', 'top', 'and', 'thought', 'i', ""'d"", 'give', 'this', 'one', 'a', 'try', '.', 'i', ""'m"", 'larger', 'chested', 'and', 'the', 'pam', 'breezely', 'fits', 'surprisingly', 'great', 'in', 'a', 'm', ',', 'but', 'this', 'one', 'is', 'a', 'different', 'material', 'and', 'is', 'much', 'more', 'snug', 'in', 'comparison', ',', 'i', 'could', ""n't"", 'button', 'it', 'or', 'move', 'my', 'shoulders', 'around', '.', 'so', ',', 'if', 'you', ""'re"", 'large', 'chested', 'or', 'have', 'wide', 'shoulders', ',', 'you', 'might', 'not', 'want', 'to', 'size', 'down', 'as', 'suggested', '.', 'it', 'was', 'also', 'a', 'shiny', 'material', ',', 'which', 'i', ""'m"", 'not', 'a', 'fan', 'of', '.', 'the', 'colors', 'were', 'pretty', 'and', 'it', 'was', 'nice', 'and', 'flowy', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{'overall': 'N', 'length': 'O', 'width': 'O', 'shoulder': 'N', 'sleeve': 'O'}"
78,"['love', 'this', 'cardigan', '.', 'i', 'wad', 'eecting', 'it', 'to', 'be', 'longer', ',', 'but', 'it', ""'s"", 'not', 'short', 'or', 'anything', '.', 'also', 'my', 'bust', 'is', 'rather', 'large', 'and', 'i', ""'m"", 'happy', 'the', 'buttons', 'do', 'button', 'up', 'though', 'there', 'is', 'a', 'slight', 'gab', 'that', 'you', 'can', 'hardly', 'tell', '.']","['O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{'overall': 'O', 'length': 'O', 'width': 'P', 'shoulder': 'O', 'sleeve': 'O'}"
147,"['the', 'fabric', 'seemed', 'to', 'stretch', 'out', 'on', 'me', 'throughout', 'the', 'day', 'but', 'will', 'shrink', 'back', 'once', 'washed', '.', 'color', 'stays', 'vibrant', 'though', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', '[SEP]']","{'overall': 'O', 'length': 'O', 'width': 'O', 'shoulder': 'O', 'sleeve': 'O'}"
59,"['i', 'love', 'this', 'cardigan', 'so', 'much', '!', 'goes', 'with', 'so', 'many', 'different', 'outfits', '!']","['O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]']","{'overall': 'O', 'length': 'O', 'width': 'O', 'shoulder': 'O', 'sleeve': 'O'}"
118,"['great', 'fit', 'but', 'size', 'up', '.', 'it', 'runs', 'a', 'little', 'smaller', '.', 'a', 'warmer', 'cardigan', 'to', 'wear', 'on', 'colder', 'days', 'due', 'to', 'the', 'acrylic', 'fibers', '.', 'it', 'also', 'requires', 'you', 'to', 'handle', 'and', 'wash', 'with', 'care', 'to', 'prevent', 'pilling', '.', 'overall', 'its', 'a', 'great', ',', 'versatile', 'sweater', 'and', 'i', 'plan', 'on', 'buying', 'more', 'colors']","['O', 'B-overall', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-P', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{'overall': 'P', 'length': 'O', 'width': 'O', 'shoulder': 'O', 'sleeve': 'O'}"
6,"['this', 'color', 'is', 'very', 'cute', '.', 'rich', 'and', 'bold', 'it', 'goes', 'great', 'with', 'other', 'bold', 'colors', '.', 'i', 'love', 'the', '3/4', 'sleeves', ',', 'comfortable', 'material', ',', 'and', 'vneck', '.']","['O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'B-sleeve', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]']","['O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]']","{'overall': 'O', 'length': 'O', 'width': 'O', 'shoulder': 'O', 'sleeve': 'O'}"
