tokens,bio_tags,sentiment_tags
"['i', 'am', 'a', 'bit', 'tall', ',', 'so', 'the', 'sleeves', 'and', 'hem', 'were', 'shorter', 'than', 'i', 'would', 'have', 'liked', ',', 'but', 'the', 'color', 'is', 'so', 'gorgeous', 'that', 'i', 'do', 'not', 'even', 'mind', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-sleeve', 'O', 'B-length', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['it', 'was', 'a', 'little', 'bit', 'small', 'for', 'me', '.']","['O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O']"
"['i', 'like', 'to', 'be', 'able', 'to', 'button', 'my', 'cardigans', 'all', 'the', 'way', 'up', ',', 'but', 'it', 'did', 'not', 'look', 'as', 'flattering', 'as', 'i', 'would', 'have', 'hoped', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-buttoned_indirect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['it', 'runs', 'a', 'little', 'smaller', '.']","['O', 'O', 'O', 'O', 'B-overall_indirect', 'O']","['O', 'O', 'O', 'O', 'B-negative', 'O']"
"['too', 'small', 'for', 'me', '.']","['O', 'B-overall', 'O', 'O', 'O']","['O', 'B-negative', 'O', 'O', 'O']"
"['the', 'medium', 'was', 'too', 'tight', 'in', 'the', 'arms', 'and', 'the', 'bust', ';', 'the', 'large', 'was', 'still', 'too', 'tight', 'in', 'the', 'arms', 'but', 'somewhat', 'baggy', 'everywhere', 'else', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-sleeve', 'O', 'O', 'B-chest', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-sleeve', 'O', 'O', 'B-overall', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'B-negative', 'O', 'O', 'O']"
"['a', 'little', 'small', 'around', 'the', 'bust', ',', 'but', 'i', 'have', 'a', 'large', 'bust', 'and', 'it', 'still', 'looked', 'cute', '.']","['O', 'O', 'O', 'O', 'O', 'B-chest', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['sleeves', 'are', 'a', 'little', 'snug', ',', 'due', 'to', 'my', 'bust', 'size', 'it', 'will', 'not', 'look', 'good', 'buttoned', 'on', 'me', ',', 'but', 'is', 'fine', 'as', 'an', 'open', 'cardigan', '.']","['B-sleeve', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-buttoned', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['it', 'was', 'not', 'as', 'loose', 'or', 'as', 'long', 'as', 'if', 'hoped', 'for', 'but', 'it', 'is', 'still', 'a', 'great', 'sweater', '.']","['O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'B-length', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['the', 'length', 'and', 'sleeves', 'are', 'perfect', '.']","['O', 'B-length', 'O', 'B-sleeve', 'O', 'O', 'O']","['O', 'O', 'O', 'B-positive', 'O', 'O', 'O']"
