item_id,size,quality,cup_size,hips,bra_size,height_cm,user_name,length,fit,tokens,bio_tags,sentiment_tags
539980,8,3.0,b,,34,170.18,asamyscott,slightly short,fit,"['my', 'only', 'complaint', 'is', 'that', 'the', 'sleeves', 'are', 'a', 'bit', 'short', 'but', 'i', 'do', 'have', 'longish', 'arms', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'B-sleeve', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
539980,12,3.0,d,39.0,34,165.1,shlycrader,just right,small,"['it', 'runs', 'a', 'little', 'smaller', '.']","['O', 'O', 'O', 'O', 'B-overall_indirect', 'O']","['O', 'O', 'O', 'O', 'B-negative', 'O']"
539980,12,3.0,b,38.0,36,165.1,veronica.hsia,just right,fit,"['perfect', 'length', 'and', 'hangs', 'well', 'on', 'me', '.', 'i', 'have', 'got', 'very', 'broad', 'shoulders', 'so', 'the', 'l', 'was', 'perfect', '.']","['O', 'B-length', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-shoulder', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-positive', 'O', 'O', 'O', 'O', 'O', 'O']"
539980,4,4.0,d,33.0,34,160.02,Aubrey,just right,fit,"['it', 'fits', 'well', 'in', 'the', 'waist', 'but', 'with', 'no', 'gaping', 'buttons', 'at', 'the', 'bust.a', 'good', 'wardrobe', 'staple', '.']","['O', 'O', 'O', 'O', 'O', 'B-waist', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-chest', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-positive', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-positive', 'O', 'O', 'O', 'O']"
539980,12,3.0,d,,32,175.26,ailiek,just right,small,"['runs', 'small', 'so', 'i', 'would', 'want', 'to', 'size', 'up', '.', 'i', 'would', 'normally', 'get', 'm', 'but', 'went', 'for', 'the', 'l', 'and', 'it', 'fits', 'well']","['O', 'B-overall_indirect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O']","['O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-positive', 'O']"
539980,12,5.0,c,36.0,36,160.02,sierrahrae19,just right,fit,"['i', 'ordered', 'mine', 'in', 'large', 'even', 'though', 'i', 'wear', 'a', 'small', 'because', 'i', 'like', 'my', 'cardigans', 'to', 'be', 'loose', 'fitting', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall_indirect', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-neutral', 'O']"
539980,20,5.0,d,,40,175.26,muriel.kiernan,very short,small,"['the', 'length', 'was', 'also', 'too', 'short', 'for', 'me', '.']","['O', 'B-length', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
539980,4,5.0,c,35.0,32,170.18,m5l9m9585,just right,small,"['the', 'only', 'issue', 'i', 'have', 'with', 'it', 'is', 'that', 'it', 'is', 'a', 'little', 'small', 'when', 'the', 'buttons', 'are', 'together', ',', 'but', 'if', 'it', 'is', 'just', 'open', '(', 'how', 'i', 'usually', 'wear', 'cardigans', ')', 'then', 'it', 'looks', 'great', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-positive', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
539980,12,4.0,c,,36,175.26,Mary,just right,fit,"['great', 'fit', 'and', 'the', 'sleeves', 'are', 'just', 'right', 'to', 'wear', 'over', 'tanks', 'and', 'dresses', 'in', 'the', 'cooler', 'months', '.']","['O', 'B-overall', 'O', 'O', 'B-sleeve', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-positive', 'O', 'O', 'B-positive', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
539980,8,5.0,b,,32,167.64,Katlin,slightly short,small,"['i', 'feel', 'that', 'it', 'is', 'a', 'little', 'short', 'and', 'on', 'the', 'smaller', 'side', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-length', 'O', 'O', 'O', 'B-overall', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'B-negative', 'O', 'O']"
